"draw","cumulative","peakDebt","breakEven","year10Cost","northGrowth","southGrowth","ukPensionShare","ukDebtShare","reratingScope","interestRate","taxMultiplier","investmentOutputReturn","oneOffTransitionCost"
"1","111.47","78.03","","5.11","3.0501","1.9036","100","100","25.6874","4.3412","0.6789","0.0668","5.1859"
"2","469.93","328.95","","17.27","3.1116","2.3692","51.1029","51.1029","68.4633","3.9028","0.5393","0.0686","6.9618"
"3","485.38","339.77","","18.56","3.4345","3.1071","31.5412","31.5412","61.7462","2.4226","0.3179","0.0781","2.8645"
"4","297.19","208.03","","11.72","3.7723","2.9385","66.7734","66.7734","48.4013","2.8569","0.3684","0.088","4.6466"
"5","307.08","214.96","","11.99","3.5603","2.7196","67.0275","67.0275","48.4103","3.162","0.4341","0.0818","4.6826"
"6","294.33","206.03","","11.44","2.8413","1.6008","73.5319","73.5319","48.2551","4.7954","0.7698","0.0607","5.5195"
"7","3.7","22.78","13","2.21","4.8","3.0003","97.4516","97.4516","25","2.4308","0.3499","0.124","1.645"
"8","44.9","35.27","20","3.37","4.1623","2.6087","97.4682","97.4682","25","3.1755","0.4674","0.0994","3.4597"
"9","294.19","205.93","","11.26","3.2989","2.6601","74.8441","74.8441","43.9382","3.2509","0.452","0.0741","4.7455"
"10","369.19","258.43","","14.02","3.219","2.6394","59.9234","59.9234","49.9672","3.2031","0.4582","0.0718","4.0738"
"11","381.47","267.03","","14.08","2.9546","2.4543","66.4299","66.4299","52.7069","3.6251","0.5137","0.064","5.5479"
"12","36.69","31.16","19","2.94","4.5691","3.0342","100","100","25","2.7715","0.3397","0.1114","5.0527"
"13","87.76","61.72","25","5.27","4.5331","2.8719","79.4762","79.4762","26.3865","2.5915","0.3884","0.1103","1.5045"
"14","305.91","214.13","","11.76","3.099","2.1532","71.9773","71.9773","47.4819","3.9929","0.604","0.0682","5.1412"
"15","59.9","41.93","","3.73","3.7129","2.3607","100","100","25","3.2701","0.5418","0.0862","1.2912"
"16","318.62","223.03","","12.17","3.5571","2.4349","73.2816","73.2816","61.6735","3.9802","0.5195","0.0817","8.4381"
"17","246.34","172.44","","9.58","3.1913","2.1933","84.4123","84.4123","45.2626","4.0715","0.592","0.0709","6.3182"
"18","255.19","178.64","","9.37","2.6565","2.5628","91.8313","91.8313","29.3178","3.2777","0.4811","0.0553","3.8039"
"19","81.75","57.22","","4.43","4.2994","3.053","94.1943","94.1943","25","2.3055","0.3341","0.1035","1.1792"
"20","140.34","98.24","","5.85","3.41","2.7961","100","100","25","2.6614","0.4112","0.0774","1.2026"
"21","362.65","253.85","","14.04","3.8341","2.1931","63.4985","63.4985","78.3668","4.5811","0.5921","0.0898","10.8005"
"22","137.33","96.13","","6.68","4.8","3.4125","76.9628","76.9628","33.3892","2","0.2262","0.119","2.7085"
"23","499.46","349.63","","18.81","3.4947","2.444","36.3821","36.3821","75.7241","3.7575","0.5168","0.0798","6.5879"
"24","168.53","117.97","","8.21","4.8","3.1063","65.4797","65.4797","42.3723","2.4558","0.3181","0.1236","3.147"
"25","111.7","78.19","","4.95","3.8873","2.9378","100","100","25","2.9672","0.3687","0.0914","5.6085"
"26","43.41","32.94","21","3.15","4.3928","2.9385","100","100","25","2.6842","0.3684","0.1062","3.1272"
"27","213.32","149.32","","8.3","3.0809","2.7463","88.9405","88.9405","25","2.8021","0.4261","0.0677","1.8381"
"28","-82.59","16.29","10","-0.02","4.5068","1.9763","100","100","27.4491","4.1685","0.6571","0.1095","4.5456"
"29","499.07","349.35","","18.88","3.4435","2.7242","33.6249","33.6249","69.7642","3.1812","0.4327","0.0783","4.9075"
"30","385.73","270.01","","15.15","3.8462","2.7349","46.9818","46.9818","62.7599","3.1947","0.4295","0.0902","5.1552"
"31","505.45","353.82","","18.3","2.8758","2.1297","49.2242","49.2242","70.6632","4.2585","0.6111","0.0617","7.1942"
"32","299.98","209.99","","10.21","1.6727","2.0906","100","100","26.5764","4.0814","0.6228","0.0264","5.1629"
